cc,Countries,Year,Independence,Saving,Unselfishness,Religious,Imagination,Respect,Determination,HardWork,Obedience
saarg,Argentina,2009,441,155,87,257,253,716,236,579,447
ocaus,Australia,2009,904,499,762,298,612,1303,701,690,551
sabra,Brazil,2009,428,430,602,836,400,967,472,917,848
aschn,China,2009,1389,1227,614,49,504,1288,477,1661,274
sacol,Colombia,2009,1013,1459,1615,1443,538,2545,609,574,1792
ascyp,Cyprus,2009,875,682,847,1008,270,1388,847,815,898
euest,Estonia,2009,399,699,233,95,172,1146,729,1226,410
eudeu,Germany,2009,3039,1697,254,389,1431,2967,2328,877,564
afgha,Ghana,2009,571,300,507,1114,263,1084,664,1214,1253
asind,India,2009,1338,1109,684,826,509,1116,815,1626,1118
asjpn,Japan,2009,877,573,551,61,338,817,737,355,56
asjor,Jordan,2009,513,303,672,1008,214,895,369,511,778
askor,South Korea,2009,812,870,139,258,494,682,539,869,162
namex,Mexico,2009,637,614,742,606,384,1218,567,379,909
afmar,Morocco,2009,658,540,439,818,314,703,327,612,611
eunld,Netherlands,2009,1450,893,624,304,682,2214,942,620,874
saper,New Zealand,2009,508,318,367,139,335,787,465,392,233
eupol,Peru,2009,412,169,897,676,192,993,262,813,808
eurus,Poland,2009,965,1129,434,950,519,1875,800,1421,915
afzaf,Russia,2009,1343,1763,653,434,506,2283,1636,3001,1189
afzwe,South Africa,2009,1758,1102,915,1678,467,2329,984,2113,1398
euesp,Spain,2009,958,757,427,310,570,2077,721,1060,878
euswe,Sweden,2009,1539,972,730,130,1034,2008,867,226,347
astur,Turkey,2009,998,1386,961,1652,811,1948,1141,2791,1413
euukr,Ukraine,2009,616,1194,409,511,454,1470,976,2084,1103
afegy,Egypt,2009,812,830,1561,2739,321,2164,672,1738,2063
nausa,United States,2009,672,373,470,632,396,978,502,771,353
