cc,Countries,Year,Independence,Saving,Unselfishness,Religious,Imagination,Respect,Determination,HardWork,Obedience
saarg,Argentina,2004,465,191,163,557,301,901,284,728,475
aschn,China,2004,741,572,370,,353,726,160,858,148
euest,Estonia,2004,218,446,165,60,107,712,496,821,285
eudeu,Germany,2004,1425,748,145,272,597,1479,945,456,240
asind,India,2004,1125,1240,732,933,562,1265,928,1699,1115
asjpn,Japan,2004,1114,655,725,89,470,970,940,369,59
asjor,Jordan,2004,273,237,387,1027,66,823,207,548,566
askor,South Korea,2004,928,810,176,254,401,776,509,859,158
namex,Mexico,2004,650,604,760,815,374,1084,505,462,914
afmar,Morocco,2004,419,445,111,1115,84,930,200,919,718
eunld,Netherlands,2004,533,216,280,95,320,913,345,145,256
afnga,Nigeria,2004,525,208,471,1369,220,1195,463,1622,1466
saper,Peru,2004,579,352,755,834,344,1090,503,890,916
eupol,Poland,2004,242,417,133,466,141,872,379,934,354
eurus,Russia,2004,769,1280,513,215,174,1674,1009,2257,841
afzaf,South Africa,2004,1874,1114,876,1843,600,2223,1257,2258,1559
afzwe,Zimbabwe,2004,263,206,330,743,111,784,351,855,683
euesp,Spain,2004,940,772,283,481,698,1916,695,1083,1171
euswe,Sweden,2004,1395,619,664,99,820,1877,593,78,258
astur,Turkey,2004,686,1339,1008,2156,1024,2881,958,3409,1917
euukr,Ukraine,2004,382,604,185,217,129,784,554,1062,424
afegy,Egypt,2004,2178,241,649,2620,463,1939,273,1153,1597
nausa,United States,2004,733,273,467,625,361,954,545,730,384
