cc,Countries,Year,Independence,Saving,Unselfishness,Religious,Imagination,Respect,Determination,HardWork,Obedience
saarg,Argentina,1998,458,172,177,374,278,794,307,599,341
ocaus,Australia,1998,1084,387,814,438,540,1653,745,735,598
asarm,Armenia,1998,640,764,612,247,314,969,1145,1671,359
aschn,China,1998,752,933,423,50,332,645,544,1090,439
sacol,Colombia,1998,1630,1513,2250,2548,1136,4117,590,1082,2570
euest,Estonia,1998,549,310,172,51,88,609,500,889,276
asind,India,1998,763,854,460,735,220,1052,588,1461,1426
asjpn,Japan,1998,637,459,398,61,273,614,648,257,66
askor,South Korea,1998,746,828,133,207,98,585,445,777,180
namex,Mexico,1998,601,697,578,658,418,865,600,500,753
ocnzl,New Zealand,1998,645,302,393,189,334,936,472,446,263
afnga,Nigeria,1998,403,195,293,1438,121,1267,777,1653,1425
saper,Peru,1998,252,231,189,625,225,763,293,759,607
eupol,Poland,1998,371,655,160,,127,940,,184,561
eurus,Russia,1998,567,1121,435,192,121,1417,844,1850,694
afzaf,South Africa,1998,917,843,657,1794,311,2055,873,1717,1464
euesp,Spain,1998,300,231,173,263,263,915,257,779,530
euswe,Sweden,1998,612,425,239,48,395,912,319,67,160
astur,Turkey,1998,312,620,374,970,422,1118,357,1322,681
euukr,Ukraine,1998,946,1374,528,574,314,1720,1184,2341,1075
nausa,United States,1998,698,412,555,832,409,1157,640,809,580
